닉네임,직위,전투력,비고
노인틀니뺏기,길드원,223743,
rell,길드원,146235,
김경연,길드원,51910,
칠레산문어,다운증후군,20568,
페이커티원,다운증후군,18399,
나주시,길드원,15654,
파루땅,길드원,13268,
주우닝,길드원,11412,
쑤까뿔리앗,길드원,11157,
직업히어로,길드원,9451,
닉네임입력,길드원,6411,
닼나붐은온다,길드원,6391,
칸호욘,길드원,5404,
갱유한,길드원,5182,
김소금,길드원,3563,
손지흠,길드원,2706,
흰파,길드원,2690,
Koala,길드원,2471,
고래킹,길드원,2132,
퍼츠,길드원,1451,
준호화이팅,길드원,1400,
따흿,길드원,1381,
똥가을,길드원,1375,
릴타치,마스터,1325,
뉴린,길드원,1273,
뿌우찌,길드원,1206,
미오밍,길드원,1098,
주먹과낭만,길드원,691,
황꿀꿀이,길드원,631,
벵벵,길드원,461,
